County,County Code,Year,Year Code,Gender,Gender Code,UCD - ICD Chapter,UCD - ICD Chapter Code,Deaths,Population
"Jefferson County, AL",1073,2008,2008,Female,F,Neoplasms,C00-D48,11,289273
"Jefferson County, AL",1073,2008,2008,Male,M,Neoplasms,C00-D48,25,272421
"Jefferson County, AL",1073,2009,2009,Female,F,Neoplasms,C00-D48,15,289994
"Jefferson County, AL",1073,2009,2009,Male,M,Neoplasms,C00-D48,15,273238
"Jefferson County, AL",1073,2010,2010,Female,F,Neoplasms,C00-D48,11,290042
"Jefferson County, AL",1073,2010,2010,Male,M,Neoplasms,C00-D48,20,273057
"Jefferson County, AL",1073,2011,2011,Female,F,Neoplasms,C00-D48,16,290109
"Jefferson County, AL",1073,2011,2011,Male,M,Neoplasms,C00-D48,23,272083
"Jefferson County, AL",1073,2012,2012,Female,F,Neoplasms,C00-D48,11,289473
"Jefferson County, AL",1073,2012,2012,Male,M,Neoplasms,C00-D48,19,271155
"Jefferson County, AL",1073,2013,2013,Female,F,Neoplasms,C00-D48,14,288484
"Jefferson County, AL",1073,2013,2013,Male,M,Neoplasms,C00-D48,17,270539
"Jefferson County, AL",1073,2014,2014,Female,F,Neoplasms,C00-D48,10,288578
"Jefferson County, AL",1073,2014,2014,Male,M,Neoplasms,C00-D48,19,269086
"Jefferson County, AL",1073,2015,2015,Female,F,Neoplasms,C00-D48,13,287172
"Jefferson County, AL",1073,2015,2015,Male,M,Neoplasms,C00-D48,23,267968
"Jefferson County, AL",1073,2016,2016,Female,F,Neoplasms,C00-D48,15,284478
"Jefferson County, AL",1073,2016,2016,Male,M,Neoplasms,C00-D48,15,266943
"Madison County, AL",1089,2008,2008,Female,F,Neoplasms,C00-D48,10,140591
"Madison County, AL",1089,2010,2010,Male,M,Neoplasms,C00-D48,10,144697
"Mobile County, AL",1097,2008,2008,Male,M,Neoplasms,C00-D48,15,172214
"Mobile County, AL",1097,2009,2009,Male,M,Neoplasms,C00-D48,11,173257
"Mobile County, AL",1097,2010,2010,Male,M,Neoplasms,C00-D48,10,173373
"Mobile County, AL",1097,2011,2011,Male,M,Neoplasms,C00-D48,11,172271
"Mobile County, AL",1097,2012,2012,Male,M,Neoplasms,C00-D48,18,171626
"Mobile County, AL",1097,2013,2013,Male,M,Neoplasms,C00-D48,15,170931
"Mobile County, AL",1097,2014,2014,Male,M,Neoplasms,C00-D48,10,170166
"Mobile County, AL",1097,2015,2015,Male,M,Neoplasms,C00-D48,10,169075
"Mobile County, AL",1097,2016,2016,Female,F,Neoplasms,C00-D48,16,177535
"Mobile County, AL",1097,2016,2016,Male,M,Neoplasms,C00-D48,12,168106
"Montgomery County, AL",1101,2010,2010,Male,M,Neoplasms,C00-D48,10,96402
"Montgomery County, AL",1101,2011,2011,Male,M,Neoplasms,C00-D48,11,97350
"Montgomery County, AL",1101,2013,2013,Male,M,Neoplasms,C00-D48,11,93955
"Montgomery County, AL",1101,2014,2014,Female,F,Neoplasms,C00-D48,12,99835
"Anchorage Borough, AK",2020,2010,2010,Male,M,Neoplasms,C00-D48,10,136255
"Maricopa County, AZ",4013,2008,2008,Female,F,Neoplasms,C00-D48,44,1626555
"Maricopa County, AZ",4013,2008,2008,Male,M,Neoplasms,C00-D48,52,1648257
"Maricopa County, AZ",4013,2009,2009,Female,F,Neoplasms,C00-D48,56,1642064
"Maricopa County, AZ",4013,2009,2009,Male,M,Neoplasms,C00-D48,54,1657444
"Maricopa County, AZ",4013,2010,2010,Female,F,Neoplasms,C00-D48,53,1644422
"Maricopa County, AZ",4013,2010,2010,Male,M,Neoplasms,C00-D48,65,1655754
"Maricopa County, AZ",4013,2011,2011,Female,F,Neoplasms,C00-D48,42,1664664
"Maricopa County, AZ",4013,2011,2011,Male,M,Neoplasms,C00-D48,54,1677340
"Maricopa County, AZ",4013,2012,2012,Female,F,Neoplasms,C00-D48,44,1682680
"Maricopa County, AZ",4013,2012,2012,Male,M,Neoplasms,C00-D48,52,1693704
"Maricopa County, AZ",4013,2013,2013,Female,F,Neoplasms,C00-D48,28,1702409
"Maricopa County, AZ",4013,2013,2013,Male,M,Neoplasms,C00-D48,55,1715081
"Maricopa County, AZ",4013,2014,2014,Female,F,Neoplasms,C00-D48,46,1728876
"Maricopa County, AZ",4013,2014,2014,Male,M,Neoplasms,C00-D48,52,1737584
"Maricopa County, AZ",4013,2015,2015,Female,F,Neoplasms,C00-D48,43,1755223
"Maricopa County, AZ",4013,2015,2015,Male,M,Neoplasms,C00-D48,48,1764558
"Maricopa County, AZ",4013,2016,2016,Female,F,Neoplasms,C00-D48,37,1776875
"Maricopa County, AZ",4013,2016,2016,Male,M,Neoplasms,C00-D48,58,1789695
"Pima County, AZ",4019,2008,2008,Female,F,Neoplasms,C00-D48,14,406141
"Pima County, AZ",4019,2008,2008,Male,M,Neoplasms,C00-D48,15,404367
"Pima County, AZ",4019,2009,2009,Female,F,Neoplasms,C00-D48,12,408555
"Pima County, AZ",4019,2009,2009,Male,M,Neoplasms,C00-D48,18,406793
"Pima County, AZ",4019,2010,2010,Female,F,Neoplasms,C00-D48,13,409226
"Pima County, AZ",4019,2010,2010,Male,M,Neoplasms,C00-D48,14,407619
"Pima County, AZ",4019,2011,2011,Female,F,Neoplasms,C00-D48,13,410130
"Pima County, AZ",4019,2011,2011,Male,M,Neoplasms,C00-D48,18,410419
"Pima County, AZ",4019,2012,2012,Female,F,Neoplasms,C00-D48,15,407761
"Pima County, AZ",4019,2012,2012,Male,M,Neoplasms,C00-D48,21,408438
"Pima County, AZ",4019,2013,2013,Female,F,Neoplasms,C00-D48,11,406217
"Pima County, AZ",4019,2013,2013,Male,M,Neoplasms,C00-D48,17,407560
"Pima County, AZ",4019,2014,2014,Female,F,Neoplasms,C00-D48,11,406938
"Pima County, AZ",4019,2014,2014,Male,M,Neoplasms,C00-D48,22,407570
"Pima County, AZ",4019,2015,2015,Female,F,Neoplasms,C00-D48,14,406005
"Pima County, AZ",4019,2015,2015,Male,M,Neoplasms,C00-D48,19,406264
"Pima County, AZ",4019,2016,2016,Female,F,Neoplasms,C00-D48,18,404920
"Pima County, AZ",4019,2016,2016,Male,M,Neoplasms,C00-D48,22,405738
"Benton County, AR",5007,2015,2015,Female,F,Neoplasms,C00-D48,10,106587
"Craighead County, AR",5031,2013,2013,Male,M,Neoplasms,C00-D48,10,43286
"Pulaski County, AR",5119,2014,2014,Male,M,Neoplasms,C00-D48,10,163253
"Pulaski County, AR",5119,2015,2015,Male,M,Neoplasms,C00-D48,10,162191
"Washington County, AR",5143,2015,2015,Male,M,Neoplasms,C00-D48,10,100356
"Alameda County, CA",6001,2008,2008,Female,F,Neoplasms,C00-D48,27,651108
"Alameda County, CA",6001,2008,2008,Male,M,Neoplasms,C00-D48,28,647117
"Alameda County, CA",6001,2009,2009,Female,F,Neoplasms,C00-D48,25,660276
"Alameda County, CA",6001,2009,2009,Male,M,Neoplasms,C00-D48,35,655293
"Alameda County, CA",6001,2010,2010,Female,F,Neoplasms,C00-D48,27,664258
"Alameda County, CA",6001,2010,2010,Male,M,Neoplasms,C00-D48,10,659257
"Alameda County, CA",6001,2011,2011,Female,F,Neoplasms,C00-D48,23,669570
"Alameda County, CA",6001,2011,2011,Male,M,Neoplasms,C00-D48,31,665701
"Alameda County, CA",6001,2012,2012,Female,F,Neoplasms,C00-D48,18,678543
"Alameda County, CA",6001,2012,2012,Male,M,Neoplasms,C00-D48,31,673411
"Alameda County, CA",6001,2013,2013,Female,F,Neoplasms,C00-D48,17,686528
"Alameda County, CA",6001,2013,2013,Male,M,Neoplasms,C00-D48,18,681254
"Alameda County, CA",6001,2014,2014,Female,F,Neoplasms,C00-D48,22,698704
"Alameda County, CA",6001,2014,2014,Male,M,Neoplasms,C00-D48,39,691634
"Alameda County, CA",6001,2015,2015,Female,F,Neoplasms,C00-D48,19,707329
"Alameda County, CA",6001,2015,2015,Male,M,Neoplasms,C00-D48,29,702197
"Alameda County, CA",6001,2016,2016,Female,F,Neoplasms,C00-D48,18,707793
"Alameda County, CA",6001,2016,2016,Male,M,Neoplasms,C00-D48,31,704529
"Contra Costa County, CA",6013,2008,2008,Female,F,Neoplasms,C00-D48,16,447281
"Contra Costa County, CA",6013,2008,2008,Male,M,Neoplasms,C00-D48,24,439522
"Contra Costa County, CA",6013,2009,2009,Female,F,Neoplasms,C00-D48,14,452812
"Contra Costa County, CA",6013,2009,2009,Male,M,Neoplasms,C00-D48,23,445082
"Contra Costa County, CA",6013,2010,2010,Female,F,Neoplasms,C00-D48,20,457237
"Contra Costa County, CA",6013,2010,2010,Male,M,Neoplasms,C00-D48,28,448877
"Contra Costa County, CA",6013,2011,2011,Female,F,Neoplasms,C00-D48,11,462503
"Contra Costa County, CA",6013,2011,2011,Male,M,Neoplasms,C00-D48,17,454879
"Contra Costa County, CA",6013,2012,2012,Female,F,Neoplasms,C00-D48,14,465446
"Contra Costa County, CA",6013,2012,2012,Male,M,Neoplasms,C00-D48,18,458029
"Contra Costa County, CA",6013,2013,2013,Female,F,Neoplasms,C00-D48,13,468810
"Contra Costa County, CA",6013,2013,2013,Male,M,Neoplasms,C00-D48,11,462177
"Contra Costa County, CA",6013,2014,2014,Female,F,Neoplasms,C00-D48,10,474487
"Contra Costa County, CA",6013,2014,2014,Male,M,Neoplasms,C00-D48,15,466494
"Contra Costa County, CA",6013,2015,2015,Female,F,Neoplasms,C00-D48,16,478130
"Contra Costa County, CA",6013,2015,2015,Male,M,Neoplasms,C00-D48,22,471642
"Contra Costa County, CA",6013,2016,2016,Female,F,Neoplasms,C00-D48,19,478948
"Contra Costa County, CA",6013,2016,2016,Male,M,Neoplasms,C00-D48,14,473780
"Fresno County, CA",6019,2008,2008,Male,M,Neoplasms,C00-D48,15,407397
"Fresno County, CA",6019,2009,2009,Male,M,Neoplasms,C00-D48,22,412480
"Fresno County, CA",6019,2010,2010,Female,F,Neoplasms,C00-D48,13,405296
"Fresno County, CA",6019,2010,2010,Male,M,Neoplasms,C00-D48,12,416134
"Fresno County, CA",6019,2011,2011,Male,M,Neoplasms,C00-D48,18,420691
"Fresno County, CA",6019,2012,2012,Male,M,Neoplasms,C00-D48,14,421148
"Fresno County, CA",6019,2013,2013,Female,F,Neoplasms,C00-D48,17,412193
"Fresno County, CA",6019,2013,2013,Male,M,Neoplasms,C00-D48,19,423300
"Fresno County, CA",6019,2014,2014,Female,F,Neoplasms,C00-D48,12,416086
"Fresno County, CA",6019,2015,2015,Male,M,Neoplasms,C00-D48,23,428263
"Fresno County, CA",6019,2016,2016,Female,F,Neoplasms,C00-D48,12,419269
"Fresno County, CA",6019,2016,2016,Male,M,Neoplasms,C00-D48,16,428965
"Kern County, CA",6029,2008,2008,Female,F,Neoplasms,C00-D48,10,348332
"Kern County, CA",6029,2008,2008,Male,M,Neoplasms,C00-D48,11,382068
"Kern County, CA",6029,2009,2009,Female,F,Neoplasms,C00-D48,15,353532
"Kern County, CA",6029,2010,2010,Female,F,Neoplasms,C00-D48,12,357807
"Kern County, CA",6029,2010,2010,Male,M,Neoplasms,C00-D48,15,391786
"Kern County, CA",6029,2011,2011,Female,F,Neoplasms,C00-D48,19,362509
"Kern County, CA",6029,2011,2011,Male,M,Neoplasms,C00-D48,10,397146
"Kern County, CA",6029,2012,2012,Female,F,Neoplasms,C00-D48,14,365395
"Kern County, CA",6029,2012,2012,Male,M,Neoplasms,C00-D48,15,395637
"Kern County, CA",6029,2013,2013,Female,F,Neoplasms,C00-D48,10,368330
"Kern County, CA",6029,2013,2013,Male,M,Neoplasms,C00-D48,14,398117
"Kern County, CA",6029,2015,2015,Female,F,Neoplasms,C00-D48,14,374189
"Kern County, CA",6029,2015,2015,Male,M,Neoplasms,C00-D48,13,404729
"Kern County, CA",6029,2016,2016,Female,F,Neoplasms,C00-D48,14,374443
"Kern County, CA",6029,2016,2016,Male,M,Neoplasms,C00-D48,13,404664
"Los Angeles County, CA",6037,2008,2008,Female,F,Neoplasms,C00-D48,146,4275449
"Los Angeles County, CA",6037,2008,2008,Male,M,Neoplasms,C00-D48,166,4296065
"Los Angeles County, CA",6037,2009,2009,Female,F,Neoplasms,C00-D48,157,4294653
"Los Angeles County, CA",6037,2009,2009,Male,M,Neoplasms,C00-D48,153,4314855
"Los Angeles County, CA",6037,2010,2010,Female,F,Neoplasms,C00-D48,147,4303964
"Los Angeles County, CA",6037,2010,2010,Male,M,Neoplasms,C00-D48,201,4320442
"Los Angeles County, CA",6037,2011,2011,Female,F,Neoplasms,C00-D48,148,4315339
"Los Angeles County, CA",6037,2011,2011,Male,M,Neoplasms,C00-D48,180,4341041
"Los Angeles County, CA",6037,2012,2012,Female,F,Neoplasms,C00-D48,160,4329578
"Los Angeles County, CA",6037,2012,2012,Male,M,Neoplasms,C00-D48,199,4355502
"Los Angeles County, CA",6037,2013,2013,Female,F,Neoplasms,C00-D48,143,4334664
"Los Angeles County, CA",6037,2013,2013,Male,M,Neoplasms,C00-D48,173,4365717
"Los Angeles County, CA",6037,2014,2014,Female,F,Neoplasms,C00-D48,127,4367659
"Los Angeles County, CA",6037,2014,2014,Male,M,Neoplasms,C00-D48,182,4385105
"Los Angeles County, CA",6037,2015,2015,Female,F,Neoplasms,C00-D48,145,4370434
"Los Angeles County, CA",6037,2015,2015,Male,M,Neoplasms,C00-D48,180,4393155
"Los Angeles County, CA",6037,2016,2016,Female,F,Neoplasms,C00-D48,149,4338194
"Los Angeles County, CA",6037,2016,2016,Male,M,Neoplasms,C00-D48,180,4363577
"Marin County, CA",6041,2011,2011,Male,M,Neoplasms,C00-D48,10,104572
"Monterey County, CA",6053,2009,2009,Male,M,Neoplasms,C00-D48,10,188793
"Orange County, CA",6059,2008,2008,Female,F,Neoplasms,C00-D48,31,1284823
"Orange County, CA",6059,2008,2008,Male,M,Neoplasms,C00-D48,54,1301025
"Orange County, CA",6059,2009,2009,Female,F,Neoplasms,C00-D48,35,1296794
"Orange County, CA",6059,2009,2009,Male,M,Neoplasms,C00-D48,44,1311624
"Orange County, CA",6059,2010,2010,Female,F,Neoplasms,C00-D48,27,1305034
"Orange County, CA",6059,2010,2010,Male,M,Neoplasms,C00-D48,41,1318335
"Orange County, CA",6059,2011,2011,Female,F,Neoplasms,C00-D48,38,1319529
"Orange County, CA",6059,2011,2011,Male,M,Neoplasms,C00-D48,49,1333989
"Orange County, CA",6059,2012,2012,Female,F,Neoplasms,C00-D48,41,1327518
"Orange County, CA",6059,2012,2012,Male,M,Neoplasms,C00-D48,47,1341828
"Orange County, CA",6059,2013,2013,Female,F,Neoplasms,C00-D48,36,1331712
"Orange County, CA",6059,2013,2013,Male,M,Neoplasms,C00-D48,40,1347536
"Orange County, CA",6059,2014,2014,Female,F,Neoplasms,C00-D48,37,1342128
"Orange County, CA",6059,2014,2014,Male,M,Neoplasms,C00-D48,42,1351731
"Orange County, CA",6059,2015,2015,Female,F,Neoplasms,C00-D48,38,1345354
"Orange County, CA",6059,2015,2015,Male,M,Neoplasms,C00-D48,43,1356373
"Orange County, CA",6059,2016,2016,Female,F,Neoplasms,C00-D48,34,1341135
"Orange County, CA",6059,2016,2016,Male,M,Neoplasms,C00-D48,35,1350211
"Placer County, CA",6061,2015,2015,Male,M,Neoplasms,C00-D48,10,150043
"Riverside County, CA",6065,2008,2008,Female,F,Neoplasms,C00-D48,24,906826
"Riverside County, CA",6065,2008,2008,Male,M,Neoplasms,C00-D48,30,924566
"Riverside County, CA",6065,2009,2009,Female,F,Neoplasms,C00-D48,20,923598
"Riverside County, CA",6065,2009,2009,Male,M,Neoplasms,C00-D48,36,939546
"Riverside County, CA",6065,2010,2010,Female,F,Neoplasms,C00-D48,18,942618
"Riverside County, CA",6065,2010,2010,Male,M,Neoplasms,C00-D48,34,957873
"Riverside County, CA",6065,2011,2011,Female,F,Neoplasms,C00-D48,21,961801
"Riverside County, CA",6065,2011,2011,Male,M,Neoplasms,C00-D48,26,978506
"Riverside County, CA",6065,2012,2012,Female,F,Neoplasms,C00-D48,22,969110
"Riverside County, CA",6065,2012,2012,Male,M,Neoplasms,C00-D48,29,986172
"Riverside County, CA",6065,2013,2013,Female,F,Neoplasms,C00-D48,23,974529
"Riverside County, CA",6065,2013,2013,Male,M,Neoplasms,C00-D48,32,992921
"Riverside County, CA",6065,2014,2014,Female,F,Neoplasms,C00-D48,24,988453
"Riverside County, CA",6065,2014,2014,Male,M,Neoplasms,C00-D48,33,1003111
"Riverside County, CA",6065,2015,2015,Female,F,Neoplasms,C00-D48,28,997455
"Riverside County, CA",6065,2015,2015,Male,M,Neoplasms,C00-D48,34,1012893
"Riverside County, CA",6065,2016,2016,Female,F,Neoplasms,C00-D48,19,1004530
"Riverside County, CA",6065,2016,2016,Male,M,Neoplasms,C00-D48,31,1021234
"Sacramento County, CA",6067,2008,2008,Female,F,Neoplasms,C00-D48,23,612362
"Sacramento County, CA",6067,2008,2008,Male,M,Neoplasms,C00-D48,22,608854
"Sacramento County, CA",6067,2009,2009,Female,F,Neoplasms,C00-D48,25,619000
"Sacramento County, CA",6067,2009,2009,Male,M,Neoplasms,C00-D48,31,614118
"Sacramento County, CA",6067,2010,2010,Female,F,Neoplasms,C00-D48,22,623081
"Sacramento County, CA",6067,2010,2010,Male,M,Neoplasms,C00-D48,24,617830
"Sacramento County, CA",6067,2011,2011,Female,F,Neoplasms,C00-D48,32,628012
"Sacramento County, CA",6067,2011,2011,Male,M,Neoplasms,C00-D48,29,623710
"Sacramento County, CA",6067,2012,2012,Female,F,Neoplasms,C00-D48,39,631056
"Sacramento County, CA",6067,2012,2012,Male,M,Neoplasms,C00-D48,30,626386
"Sacramento County, CA",6067,2013,2013,Female,F,Neoplasms,C00-D48,19,633289
"Sacramento County, CA",6067,2013,2013,Male,M,Neoplasms,C00-D48,27,627824
"Sacramento County, CA",6067,2014,2014,Female,F,Neoplasms,C00-D48,26,639373
"Sacramento County, CA",6067,2014,2014,Male,M,Neoplasms,C00-D48,23,633350
"Sacramento County, CA",6067,2015,2015,Female,F,Neoplasms,C00-D48,25,644664
"Sacramento County, CA",6067,2015,2015,Male,M,Neoplasms,C00-D48,21,638847
"Sacramento County, CA",6067,2016,2016,Female,F,Neoplasms,C00-D48,27,647962
"Sacramento County, CA",6067,2016,2016,Male,M,Neoplasms,C00-D48,20,640951
"San Bernardino County, CA",6071,2008,2008,Female,F,Neoplasms,C00-D48,26,893025
"San Bernardino County, CA",6071,2008,2008,Male,M,Neoplasms,C00-D48,26,906436
"San Bernardino County, CA",6071,2009,2009,Female,F,Neoplasms,C00-D48,32,897023
"San Bernardino County, CA",6071,2009,2009,Male,M,Neoplasms,C00-D48,34,909008
